   ,source                  ,content
 0 ,NPR                     ,"Air quality in Los Angeles has improved as the Palisades and Eaton wildfires get under control. But as the fires burned through houses, cars and industrial areas, they spewed out vast amounts of smok… [+6171 chars]"
 1 ,Yahoo Entertainment     ,"A new study suggests that air pollution can affect the fertility rates of all people, not just mothers or others who can bear children.
                             What's happening?
                             The Guardian reported on a study published … [+2253 chars]"
 2 ,NPR                     ,"Members of two of the Environmental Protection Agency's most influential advisory committees, tasked with providing independent scientific guidance to the head of the agency, found out Tuesday evenin… [+3252 chars]"
 3 ,The Next Web            ,"Swedish startup Adsorbi has secured 1mn to ramp up production of a cellulose-based material that sucks up pollutants from the air.
                             Metsä Spring, the venture arm of the Finnish forestry giant, led t… [+2675 chars]"
 4 ,BBC News                ,"Thai authorities have made public transport in Bangkok free for one week, in an attempt to reduce the number of private cars on the roads and tackle air pollution.
                             Smog has already led to hundreds … [+50 chars]"
 5 ,Ourworldindata.org      ,"High levels of cholesterol are a risk factor for atherosclerosis and cardiovascular diseases, which can lead to heart attacks and strokes.
                             As the chart shows, the age-standardized share of American … [+1122 chars]"
 6 ,Gizmodo.com             ,"This story was originally published by Grist. Sign up for Grist’s weekly newsletter here.
                             Earths oceans caught a fever in March 2023 that has yet to break. Since then, the bathwater-like conditions … [+4834 chars]"
 7 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             G… [+3250 chars]"
 8 ,Yahoo Entertainment     ,"This common item is responsible for 25% of all microplastic pollution and it's worse than we thought.
                             What's happening?
                             A recent study found high levels of two potentially deadly chemicals in human… [+1901 chars]"
 9 ,NPR                     ,"2024 is officially the hottest year ever recorded on Planet Earth, at least while humans have been around, according to the official tallies from meteorological organizations around the world.
                             The N… [+8305 chars]"
10 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             A… [+2127 chars]"
11 ,Science Daily           ,A groundbreaking study led by University of Virginia researchers has used satellite measurements to show the long-term persistence of air pollution inequalities tied to industrialized swine facilitie… [+3192 chars]
12 ,Yahoo Entertainment     ,"Thick smog blanketed Hanoi on Friday, obscuring buildings and leaving nine million residents choking on toxic air as the Vietnamese capital topped a list of the world's most polluted major cities.
                             A… [+1935 chars]"
13 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             U… [+3054 chars]"
14 ,Time                    ,"The Los Angeles wildfires have killed at least two dozen people and decimated thousands of structures. Yet even in areas that arent burning, plumes of smoke remain a serious and ongoing public health… [+9546 chars]"
15 ,Gizmodo.com             ,"AI-generated scientific research is polluting the online academic information ecosystem, according to a worrying report published in the Harvard Kennedy School’s Misinformation Review.
                             A team of res… [+5110 chars]"
16 ,Futurity: Research News ,"Analyzing 16 years of race results and air pollution levels, a team of researchers found that poor air quality had a negative effect on marathon times.
                             When the research team assessed the associatio… [+4028 chars]"
17 ,Yahoo Entertainment     ,"Electric vehicles have been shown to be better for the health of the planet and, not unrelatedly, it turns out they are better for the health of individual humans, too. A new study published in the E… [+2144 chars]"
18 ,Yahoo Entertainment     ,Battery innovations steal many of the electric vehicleheadlines. But BMW's fascinating quad-motor prototype is reported by InsideEVs to have turned the heads of the carmaker's executives during testi… [+3524 chars]
19 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             M… [+3249 chars]"
20 ,BBC News                ,"Parts of India smouldered in a blistering heatwave in June during the world's hottest year on record
                             Levels of the most significant planet-warming gas in our atmosphere rose more quickly than ever p… [+4587 chars]"
21 ,New Scientist           ,"The site of a Roman-era lead mine at Charterhouse in Somerset, UK
                             Andrew Wilson
                             Extensive silver mining may have exposed ancient Romans to high levels of lead pollution in the air, probably leading… [+390 chars]"
22 ,Jalopnik                ,"Despite concerns over energy-intensive production and fossil fuel powering the electrical grid, electric vehicles dont hold a candle to generative artificial intelligence in terms of environmental da… [+1551 chars]"
23 ,BBC News                ,"Vishnukant Tiwari
                             Protests have broken out after a dozen containers containing toxic waste arrived for disposal at a local plant in Pithampur
                             Vegetable vendor Shivnarayan Dasana had never seen so m… [+6285 chars]"
24 ,Politicopro.com         ,"CLIMATEWIRE | President Donald Trump’s cancellation of a 31-year-old environmental justice directive threatens the health of tens of millions of people in minority or low-income communities, which ha… [+7798 chars]"
25 ,Business Insider        ,"President-elect Donald Trump could quickly sign multiple executive orders pushing for more oil and gas production.Scott Olson/Getty Images
                             <ul><li>Trump is planning executive orders aligned with his… [+6556 chars]"
26 ,Science Daily           ,"Lead exposure is responsible for a range of human health impacts, with even relatively low levels impacting the cognitive development of children. DRI scientists have previously used atmospheric poll… [+5702 chars]"
27 ,Phys.Org                ,"Air pollution forced nearly 200 schools in Bangkok to close on Thursday, local authorities said, as officials urged people to work from home and restricted heavy vehicles in the city.
                             Seasonal air p… [+3142 chars]"
28 ,Dezeen                  ,"New York City has become the first city in the US to charge a toll for vehicles entering the city during peak traffic areas in an attempt to reduce congestion, pollution and to provide funds for the … [+2654 chars]"
29 ,CNET                    ,"The massive electronics bonanza known as CES 2025 starts tomorrow, and I'm sure that -- as in 2024 -- it won't disappoint when it comes to some truly strange gadgets. While I rub my hands in anticipa… [+6106 chars]"
30 ,BBC News                ,"Dense fog and severe air quality levels have caused travel chaos in India's capital Delhi.
                             Visibility in several areas was reported to be zero in the early hours of Friday, disrupting flights, trai… [+1826 chars]"
31 ,Presse-citron           ,"Dans l’histoire des catastrophes environnementales, le Great Smog de Londres est certainement l’un des épisodes de pollution les plus meurtriers de l’histoire. La capitale britannique était alors un … [+6417 chars]"
32 ,The Atlantic            ,"When my family returned to our home in Santa Monica last Sunday night, we breathed a sigh of relief. Our house was fine, and the air quality was in the “good” category. Schools would reopen the next … [+5460 chars]"
33 ,Phys.Org                ,"In Boyle Heights, a predominantly Hispanic/Latino neighborhood, residents face disproportionate exposure to toxic air pollution, which is linked to chronic illnesses like asthma and heightened mortal… [+3758 chars]"
34 ,Business Insider        ,"Cases of colorectal, breast, and cervical cancer are rising in young people.Getty Images
                             <ul><li>The American Cancer Society says women under 65 are getting cancer at higher rates.</li><li>Most case… [+3256 chars]"
35 ,Vox                     ,"Burned trees from the Palisades Fire and dust blown by winds are seen from Will Rogers State Park in the Pacific Palisades neighborhood on January 15, 2025. | Apu Gomes/Getty Images
                             
                             
                             The Palisades … [+7809 chars]"
36 ,Scientific American     ,"Firefighters in southern California are battling the Palisades and Eaton Fires, which have killed at least 25 people, burning a cumulative 37,700 acres and at least 12,000 structures. The plumes of s… [+4985 chars]"
37 ,Jalopnik                ,"Even if you dont care about pollution causing climate change, theres no denying that it hurts air quality, and gas-powered cars are a big part of that problem in cities. As a result, countries around… [+3241 chars]"
38 ,Gizmodo.com             ,"The European Southern Observatory is at serious risk of losing the clear skies above its Paranal Observatory in Chile’s Atacama Desert, officials said, due to a proposed industrial complex put forwar… [+7829 chars]"
39 ,Business Insider        ,"Firefighters fight the flames from the Palisades Fire during a powerful windstorm on January 8, 2025.Apu Gomes/Getty Images
                             <ul><li>Wildfires are ravaging the Los Angeles area, spreading rapidly due… [+5513 chars]"
40 ,Uchicago.edu            ,"As wildfires raged in California again this summer, the damages are adding up. In 2020 alone, wildfires killed 30 people and caused more than $19 billion in economic losses. On top of the immediate d… [+3523 chars]"
41 ,NPR                     ,"Approvals for new wind energy projects in federal lands and waters are temporarily halted in the U.S.. That's after President Donald Trump signed an executive order
                             calling for the pause.
                             The orde… [+6953 chars]"
42 ,Al Jazeera English      ,"More than 350 schools in Bangkok have been forced to close due to air pollution, authorities in Thailands capital have said.
                             The Thai capital has been struggling with hazardous air quality since mid… [+1915 chars]"
43 ,The Verge               ,"Joe Bidens national climate adviser sees AI as a massive opportunity
                             Joe Bidens national climate adviser sees AI as a massive opportunity
                             / National climate adviser Ali Zaidi is still optimistic a… [+11161 chars]"
44 ,Science Daily           ,"As the atmosphere continues to fill with greenhouse gases from human activities, many proposals have surfaced to ""geoengineer"" climate-saving solutions, that is, alter the atmosphere at a global scal… [+6470 chars]"
45 ,NPR                     ,"The warning is stark: ""Do not drink or cook with the tap water Do not treat the tap water yourself,"" typed in all caps and boldface. The alert, issued January 10 by the Los Angeles Department of Wate… [+4265 chars]"
46 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             M… [+4159 chars]"
47 ,Politicopro.com         ,"CLIMATEWIRE | James Jordan could work at almost any job in California and be protected by state rules that require companies to give their employees high-quality masks to block wildfire smoke.
                             But J… [+7815 chars]"
48 ,Forbes                  ,"The World Health Organization 2024 report recently urged world leaders to reduce pollution-related diseases and cut carbon emissions, considering that air pollutionparticularly extremely small partic… [+6051 chars]"
49 ,Science Daily           ,"As harmful algal blooms (HABs) continue to spread across the globe, urgent research is needed to address this growing threat. Studies in Italy, China, and the Atlantic basin have shown that many wate… [+5641 chars]"
50 ,CNET                    ,"Microplastics are everywhere: in the air we breathe, the water we drink and the food we eat. They accumulate in clothes, cosmetics, fabric and dust.
                             It is nearly impossible to avoid microplastics i… [+7626 chars]"
51 ,Business Insider        ,"Getty Images; Jenny Chang-Rodriguez/BI
                             <ul><li>Increasingly, young people with clean diets and healthy lifestyles are getting colon cancer.</li><li>Doctors say diet plays a role in the rising risk, … [+13631 chars]"
52 ,Android Authority       ,"Do you ever walk into your local tech store and see those fancy Dyson fans? They are so cool, but I always had a hard time justifying their unreasonably high prices, especially when you can get a per… [+1609 chars]"
53 ,Vox                     ,"In my view, climate change is real and it is an existential threat.
                             My inclination is to take dams down.
                             The toxic chemicals that pollute our air, our water, our soils end up in our own bodies. Th… [+27840 chars]"
54 ,Phys.Org                ,New research published in the journal Atmospheric and Oceanic Science Letters reports significant progress in studying the relationship between meteorological conditions and atmospheric fine-particle… [+2778 chars]
55 ,20 Minutes              ,"Pas un flocon ici et un bon centimètre quelques centaines de mètres plus loin. A Strasbourg ces derniers jours, la neige choisit ses quartiers. La Robertsau surtout, Neudorf un peu, voire la commune … [+1932 chars]"
56 ,Grist                   ,"This story was originally published by Mississippi Today and is republished here under a Creative Commons license.
                             Drax, the British owner of wood pellet plants in Mississippi and Louisiana that has… [+5534 chars]"
57 ,Colorado Public Radio   ,"Before announcing his plan to resign come spring, Auden Schendler spent 26 years working as the vice president of corporate sustainability for Aspen One, which operates the world-famous ski resorts a… [+13002 chars]"
58 ,BBC News                ,"Authorities in India have removed hundreds of tonnes of toxic waste from an Indian chemical factory that witnessed one of the world's deadliest gas leaks 40 years ago.
                             A court in December had set a … [+3828 chars]"
59 ,Kk.org                  ,"A weekly newsletter with four quick bites, edited by Tim Leffel, author of A Better Life for Half the Price and The Worlds Cheapest Destinations. See past editions here, where your like-minded friend… [+2330 chars]"
60 ,Time                    ,"(To get this story in your inbox, subscribe to the TIME CO2 Leadership Report newsletter here.)
                             In my job writing about climate change, Ive had the opportunity to visit communities around the world … [+3947 chars]"
61 ,Scientific American     ,"Incoming president Donald Trump and his administration have called warnings about climate change “alarmist,” and they have pledged to further expand oil and natural gas production. But there are impo… [+5734 chars]"
62 ,CNET                    ,"With its sprawling canopy of magnolia, dogwood, southern pine and oak trees, Atlanta is known as the city in the forest. The lush vegetation helps offset the pollution from the commuter traffic as pe… [+16751 chars]"
63 ,Grist                   ,"Earths oceans caught a fever in March 2023 that has yet to break. Since then, the bathwater-like conditions have killed corals in a record-breaking mass bleaching event, fueled hurricanes, and collap… [+4651 chars]"
64 ,Bleacher Report         ,"Ric Tapia/Getty Images
                             Several areas across Los Angeles are being affected by devastating wildfires, but the NFC Wild Card Game between the Los Angeles Rams and Minnesota Vikings on Monday night rem… [+2549 chars]"
65 ,Jabberwocking.com       ,"Marc Dunkelman has a new book coming out next month called Why Nothing Works. His thesis is that America once did big things but now seems stuckand much of it is the fault of progressives:
                             America i… [+13475 chars]"
66 ,Vox                     ,"MALCOM, IOWA When Carolyn Bittner moved to Malcom, Iowa, in 2008 to serve as a pastor at two churches, she had no idea the town was also home to millions of egg-laying chickens. Three miles from her … [+16251 chars]"
67 ,The Times of India      ,"OMAHA: In his letter to investors last year, Berkshire Hathaway Chairman Warren Buffett urged readers to come ""inhale the air, drink the water"" and attend the company's annual shareholder meeting in … [+29356 chars]"
68 ,Forbes                  ,"The horrific, unpreceded wildfires that have hit Los Angeles this past week destroyed 12,000 structures and cost lives, and left city and county officials reeling in their attempts to contain the dam… [+10934 chars]"
69 ,Space.com               ,"An experimental satellite made of wood has been deployed from the International Space Station (ISS) to test how the renewable, sustainable material withstands the harsh orbital environment.
                             The sate… [+3751 chars]"
70 ,Phys.Org                ,A research team led by Prof. Shen Yan'an from the University of Science and Technology of China (USTC) has made significant progress in studying the sources and formation mechanisms of haze. Through … [+3901 chars]
71 ,Grist                   ,"When President Joe Biden announced his Justice40 Initiative, a week after he took office in January 2021, it had been almost 30 years since a U.S. president had signed an executive order related to e… [+35080 chars]"
72 ,Grist                   ,"When President Joe Biden announced his Justice40 Initiative, a week after he took office in January 2021, it had been almost 30 years since a U.S. president had signed an executive order related to e… [+35080 chars]"
73 ,Phys.Org                ,"Like many communities, the Tule River Tribe in the western foothills of California's Sierra Nevada mountain range faces mounting environmental hazards like wildfire, drought, and flooding.
                             A new stu… [+4199 chars]"
74 ,Yanko Design            ,"The concept of biophilia truly inspiring, as it emphasizes bringing the essence of the natural world into our indoor spaces. Before covid came in and changed our relationship with our homes and how w… [+13039 chars]"
75 ,Space.com               ,"An international group of researchers is calling on the United Nations to include the protection of Earth's orbit in the U.N.'s sustainable development goals.
                             The researchers — led by experts from N… [+5380 chars]"
76 ,Forbes                  ,"Directly above picture made by drone of an electric car driving through autumn forest, leaving ... [+] behind a bright trace made by the sustainable energy, an the zero emissions.
                             getty
                             Half a cent… [+5348 chars]"
77 ,ESPN                    ,"LOS ANGELES -- As wildfires continue to devastate several areas across Los Angeles, causing thousands to evacuate and impacting air quality, the NFL said it is monitoring the situation's potential im… [+2627 chars]"
78 ,Libération              ,"Létau se resserre sur les fumeurs. A partir de mercredi 1er janvier 2025, les habitants et les touristes de passage dans la ville italienne de Milan ne pourront plus griller leur cigarette dans lespa… [+1910 chars]"
79 ,redmondpie.com          ,"It’s never been easier to keep tabs on the quality of the air around you, and this smart air quality monitor is a great option that you can save a whopping 21% off if you act quickly. This deal saves… [+1458 chars]"
80 ,Politicopro.com         ,CLIMATEWIRE | Firefighter Matt Alba was having flashbacks. Watching video footage of Los Angeles getting torched by wind-fed flames unlocked memories of his fight against the Camp Fire six years ago.… [+9662 chars]
81 ,Vox                     ,"The hundreds of billions of pounds of waste produced by America’s dairy cows every year has long been a headache for farmers.
                             
                             Manure is expensive to manage and, to state the obvious, it smells terr… [+25635 chars]"
82 ,Slate.fr                ,"Pour assoir sa domination politique, l'Empire romain s'est appuyé sur ses ressources techniques, parmi lesquelles l'exploitation des ressources minières comme le fer. Mais ces activités ont engendré … [+2810 chars]"
83 ,1pezeshk.com            ,"(Asthma) (Airways) . . (Allergens) (Air Pollution) . . (Controller and Reliever Medications) . (Asthma Attacks) . .
                             1-
                             (Genetic Factors) (Environmental Factors) . . ( ) (Immune System) . . (Multi… [+971 chars]"
84 ,Quartz India            ,"In This Story
                             Hino Motors (TM0.00%
                             ), a Toyota Motor Co. subsidiary, has agreed to plead guilty and pay a $1.6 billion fine as part of a settlement with several U.S. agencies over an emissions frau… [+2442 chars]"
85 ,Vox                     ,"A Vox reader asks: Why is factory farming still around?
                             Factory farming the intensive confinement of chickens, pigs, and cows on a massive scale developed in the second half of the 20th century to f… [+8416 chars]"
86 ,Mikeindustries.com      ,"I grew up on Iliff Street, right in the middle of the ashes that up until a few nights ago, was a sunkissed neighborhood known as Pacific Palisades.
                             It was 1978, and I remember my dad climbing up on… [+17319 chars]"
87 ,Vox                     ,"This story was originally published by Grist and is reproduced here as part of the Climate Desk collaboration.
                             Within hours of being sworn into office on Monday, President Donald Trump announced a … [+8431 chars]"
88 ,Forbes                  ,"SANTA MONICA, CALIFORNIA - JANUARY 10: Wildfire smoke from the Palisades Fire is seen from Santa ... [+] Monica Pier amid poor air quality in the region on January 10, 2025 in Santa Monica, Californi… [+7251 chars]"
89 ,Naturalnews.com         ,<ul><li>A new study links maternal exposure to air pollution in late pregnancy to a 30-35% higher risk of NICU admissions for newborns.</li><li>Traffic-related pollutants like NO2 and PM2.5 increase … [+4625 chars]
90 ,Naturalnews.com         ,"<ul><li>Air pollution poses a significant health risk by triggering oxidative stress.</li><li>Antioxidants neutralize free radicals by donating electrons, stabilizing them and preventing cellular dam… [+7960 chars]"
91 ,Scientific American     ,"Rachel Feltman: Happy new year, listeners!For Scientific American’s Science Quickly, this is Rachel Feltman.
                             Whether you’re an avid backpacker, an occasional park stroller or someone whose relations… [+18457 chars]"
92 ,Forbes                  ,"If youre worried about the quality of your indoor air, either due to smoke from Los Angeles wildfires or ever-present airborne irritants, a reliable air purifier might help your household breathe eas… [+27037 chars]"
